pwm,vbat[V],rpm1,rpm2,rpm3,rpm4, weight
33870,3.948,16189,16853,16273,16124,22.3
22898,4.011,12709,13186,12432,12900,13.7
26553,3.985,13837,14214,13599,14207,16.2
43415,3.837,19317,19723,18856,19685,32.6
43773,3.816,19373,19743,18856,19860,32.5
60513,3.573,24803,25210,24610,25466,55.9
26808,3.911,13748,14097,13673,14091,16.4
51995,3.684,22018,22573,21684,22900,43.9
32572,3.863,15428,15953,15420,15357,20.5
24739,3.916,13037,13501,12922,13354,14.6
61589,3.536,24885,25402,24519,25695,57.1
64168,3.462,25641,25906,25010,26396,60.0
49892,3.652,21001,21474,20505,21466,39.0
36197,3.779,16353,16839,16260,16012,23.1
25871,3.853,13428,13627,13274,13528,15.3
64809,3.446,25477,25906,25115,26143,59.9
42022,3.705,18242,18720,17814,18767,28.8
45768,3.673,19373,19815,18963,19736,33.1
44484,3.679,18999,19436,18627,19436,31.9
23347,3.816,12285,12701,12214,12404,13.6
22898,3.826,12167,12474,12048,12190,13.0
54146,3.573,22271,22865,21873,22997,45.0
36533,3.726,16021,16727,15889,15953,23.0
54544,3.547,22371,22918,21994,22796,44.9
41758,3.668,17931,18416,18209,18478,29.0
50329,3.584,20547,21329,20338,21231,38.8
31527,3.726,14702,15124,14605,14738,19.6
40226,3.673,17361,17889,17361,17356,27.1
64044,3.383,24885,25608,24640,25828,57.0
47855,3.573,19550,20033,20006,19946,34.9
43705,3.61,18455,18927,18165,18939,30.6
38709,3.647,16625,17226,15801,16268,24.7
32611,3.689,14970,15325,14892,14866,20.0
37496,3.658,16242,16887,16474,16029,23.8
26992,3.721,13286,13639,13245,13516,16.0
31832,3.695,14702,15128,14680,14669,19.5
55384,3.483,22099,22857,21810,22779,45.6
21602,3.731,11531,11785,11400,11547,12.4
51579,3.515,21037,21520,20611,21359,40.1
60191,3.388,23603,24183,23139,24301,50.8
49559,3.504,20046,20746,19887,20590,36.7
27762,3.668,13392,13770,13318,13673,16.3
25666,3.689,12644,13097,12628,12850,14.9
21505,3.71,11428,11760,11380,11400,12.1
59639,3.399,23273,23990,23076,24028,50.5
55511,3.431,21826,22573,21443,22497,44.0
27691,3.647,13321,13714,13283,13495,16.5
55855,3.425,22066,22735,21754,22658,45.1
55888,3.409,22050,22710,21629,22279,44.7
25810,3.642,12660,12947,12644,12741,15.1
32384,3.615,14680,15120,14727,14587,19.7
43413,3.541,18126,18570,18028,18359,29.9
50143,3.473,20113,20711,19685,20422,37.0
48311,3.478,19417,20033,19096,19973,35.0
37926,3.563,16081,16713,16242,15743,23.7
38041,3.563,16059,16666,16150,15743,23.7
57193,3.378,22346,23050,21978,22787,46.1
33558,3.573,14929,15440,14921,14760,20.8
20258,3.652,10919,11169,10883,10758,11.6
50013,3.457,20046,20491,19769,20318,37.4
54619,3.394,21466,22058,21030,21739,42.9
35538,3.552,15368,15831,15368,15056,22.3
61840,3.293,23668,24252,23273,24067,52.2
64213,3.241,24340,24793,23828,24752,54.4
55345,3.351,21567,22099,21119,21905,43.1
51863,3.394,20318,20964,19880,20855,38.5
46041,3.452,18518,19096,18281,19096,32.1
27078,3.584,12970,13312,12942,13195,16.1
47602,3.452,19017,19569,18785,19595,34.3
32183,3.552,14443,14836,14412,14378,19.7
52619,3.394,20618,21321,20202,21023,39.9
57949,3.314,22296,22962,21707,22658,46.2
24971,3.573,12358,12507,12101,12269,14.7
20980,3.61,10999,11214,10865,10810,12.0
34761,3.541,15094,15612,15064,14774,21.5
61055,3.272,23183,23809,22753,23696,50.6
43799,3.446,17947,18365,17286,18028,30.1
23944,3.573,11937,12264,11811,11769,14.2
28655,3.563,13339,13736,13271,13374,17.2
62459,3.23,23520,24125,23050,24096,52.1
30969,3.52,14005,14381,13953,14154,19.1
65172,3.177,23913,24580,23687,24580,54.4
47980,3.367,19035,19436,18587,19436,34.0
59302,3.219,22346,22909,21802,22650,46.7
50717,3.314,19646,20066,19379,20073,36.3
46937,3.351,18679,19017,18264,18999,30.4
38602,3.425,15932,16406,15839,15657,23.9
